episode,reward,score,steps,epsilon,loss,avg_reward_100
196,-1.5999999999999996,1,15,0.6184540000000001,7.896454016367595,-8.605000000000002
197,-13.6,0,27,0.615781,8.833100214048669,-8.601000000000003
198,-15.4,0,15,0.614296,5.058695816993714,-8.571000000000003
199,-14.5,0,16,0.612712,8.932118184864521,-8.603000000000003
200,-13.5,0,24,0.610336,8.472991762061914,-8.642000000000003
201,-1.5,1,24,0.6079600000000001,6.587331293771665,-8.661000000000003
202,-10.2,0,15,0.606475,4.71256099541982,-8.568000000000003
203,-11.5,0,10,0.605485,5.334238338470459,-8.646000000000004
204,0.40000000000000036,1,21,0.603406,6.587405823525929,-8.655000000000003
205,-9.9,0,6,0.602812,14.51865866780281,-8.653000000000004
206,-16.5,0,34,0.5994459999999999,6.345355941968806,-8.645000000000003
207,-12.1,0,22,0.597268,9.751424518498508,-8.664000000000003
208,0.10000000000000142,1,8,0.596476,9.538899444043636,-8.689000000000004
209,-9.7,0,10,0.595486,10.81235625743866,-8.588000000000005
210,-0.1999999999999993,1,7,0.594793,5.411304031099592,-8.679000000000004
211,-13.7,0,14,0.593407,7.299608937331608,-8.559000000000005
212,-1.6999999999999993,1,22,0.591229,5.1098488718271255,-8.597000000000003
213,-9.6,0,9,0.590338,9.81849926047855,-8.512000000000006
214,5.999999999999991,2,53,0.585091,7.96517747584379,-8.481000000000005
215,-10.6,0,17,0.5834079999999999,3.9872618002050064,-8.424000000000005
216,-4.699999999999999,1,20,0.5814280000000001,7.67842727303505,-8.406000000000004
217,-10.7,0,10,0.580438,13.563088220357894,-8.433000000000005
218,-7.100000000000001,1,42,0.57628,7.4886988926501505,-8.359000000000005
219,-0.6999999999999993,1,18,0.574498,8.064772758218977,-8.325000000000006
220,-7.000000000000001,1,31,0.571429,6.870818011222347,-8.339000000000006
221,-12.0,0,11,0.5703400000000001,6.185166066343134,-8.309000000000006
222,-9.7,0,8,0.5695479999999999,7.3926996774971485,-8.266000000000007
223,-6.0,1,31,0.566479,9.253177108303193,-8.251000000000007
224,0.6999999999999993,1,20,0.564499,6.684848099946976,-8.109000000000007
225,-9.1,0,12,0.563311,11.457500765721003,-7.886000000000006
226,-9.7,0,14,0.561925,11.118434071540833,-7.975000000000007
227,-0.4999999999999982,1,8,0.561133,7.052915588021278,-7.971000000000007
228,-9.5,0,6,0.560539,13.304756055275599,-7.934000000000008
229,5.400000000000004,2,20,0.558559,6.6007032841444016,-7.871000000000007
230,-14.899999999999999,0,24,0.5561830000000001,6.222959612806638,-7.713000000000006
231,-3.5999999999999996,1,57,0.55054,5.291190281248929,-7.760000000000006
232,10.0,2,8,0.549748,11.161245085299015,-7.674000000000006
233,-9.8,0,7,0.5490550000000001,8.865207552909851,-7.570000000000006
234,-4.699999999999999,1,24,0.546679,7.585767147441705,-7.5480000000000045
235,-9.6,0,17,0.544996,7.02950677801581,-7.483000000000005
236,-11.6,0,29,0.542125,6.155672445379454,-7.475000000000006
237,0.0,1,7,0.541432,7.546735303742545,-7.473000000000005
238,0.10000000000000142,1,8,0.54064,3.2348082214593887,-7.307000000000006
239,0.20000000000000107,1,9,0.539749,3.036885850959354,-7.3090000000000055
240,-1.8999999999999986,1,20,0.5377689999999999,6.312583649158478,-7.190000000000005
241,7.100000000000001,2,22,0.5355909999999999,9.058295445008712,-7.014000000000005
242,-10.5,0,20,0.5336110000000001,9.833032977581023,-6.798000000000003
243,-1.9000000000000004,1,18,0.531829,6.589787317646874,-6.785000000000004
244,-7.799999999999998,1,49,0.526978,8.665430095730995,-6.740000000000004
245,-0.1999999999999993,1,19,0.5250969999999999,9.782216439121648,-6.683000000000002
246,-10.9,0,24,0.522721,9.758390401800474,-6.531000000000001
247,9.5,2,28,0.519949,10.875580100076538,-6.633000000000001
248,30.000000000000014,4,91,0.51094,8.951489576926598,-6.526
249,-0.09999999999999787,1,16,0.509356,9.11440409347415,-6.13
250,-14.8,0,31,0.506287,9.625281024363733,-6.027
251,-0.7999999999999989,1,27,0.503614,7.121547615086591,-6.0409999999999995
252,1.1999999999999975,1,25,0.501139,6.540117597579956,-5.8939999999999975
253,-18.400000000000002,0,53,0.495892,10.547504137147147,-5.730999999999998
254,-19.9,0,22,0.493714,10.605137765407562,-5.8119999999999985
255,-0.09999999999999964,1,14,0.492328,8.183809007917132,-5.969999999999998
256,-15.500000000000002,0,32,0.48916000000000004,11.168349251151085,-5.951999999999998
257,0.5,1,12,0.48797199999999996,15.388676236073175,-6.085999999999997
258,10.900000000000006,2,26,0.485398,9.659857671994429,-5.929999999999996
259,7.5,2,44,0.48104199999999997,8.964785086837681,-5.8249999999999975
260,31.000000000000007,4,31,0.477973,13.525204120143767,-5.729999999999998
261,0.40000000000000036,1,9,0.477082,9.85785977045695,-5.422999999999997
262,0.3000000000000007,1,10,0.47609199999999996,3.5063257038593294,-5.397999999999999
263,-11.4,0,17,0.47440899999999997,13.39157010527218,-5.293999999999998
264,-9.6,0,9,0.473518,10.57155704498291,-5.407999999999998
265,-1.6999999999999993,1,24,0.47114199999999995,9.685990643997988,-5.370999999999999
266,1.0,1,13,0.469855,3.18642075245197,-5.241000000000001
267,-2.4000000000000012,1,25,0.46738,7.30006382226944,-5.334000000000002
268,-9.6,0,11,0.466291,13.142445943572305,-5.253000000000002
269,-3.1999999999999993,1,31,0.463222,13.228983748343683,-5.329000000000001
