episode,reward,score,policy_loss,value_loss,entropy,clip_epsilon,avg_reward_100
109,-11.017431192660553,0.14678899082568808,-0.0016993050929158926,45.570594024658206,1.0915766716003419,0.3,0.0
212,-11.598058252427183,0.08737864077669903,-0.001442895270884037,44.02591552734375,1.091934859752655,0.29997000149995,-11.017431192660553
319,-10.337383177570093,0.205607476635514,-0.0011701717972755431,43.31216735839844,1.091366994380951,0.2999400059996,-11.307744722543868
426,-10.034579439252338,0.205607476635514,-0.0014553114771842957,40.91867790222168,1.089485275745392,0.2999100134986501,-10.984290874219276
531,-9.698095238095238,0.23809523809523808,-0.0018729491159319878,40.32956886291504,1.0832916975021363,0.2998800239968003,-10.746863015477542
637,-10.972641509433961,0.1320754716981132,-0.0016217144206166268,38.98275718688965,1.0768700957298278,0.2998500374937508,-10.537109460001082
741,-10.757692307692308,0.17307692307692307,-0.001103061530739069,41.287200927734375,1.0793182730674744,0.29982005398920164,-10.609698134906562
836,-10.557894736842105,0.21052631578947367,-0.002468697726726532,36.212481307983396,1.0830705046653748,0.29979007348285297,-10.630840159590239
928,-11.025,0.18478260869565216,-0.0012058604508638382,32.786921691894534,1.0853096127510071,0.2997600959744051,-10.621721981746722
1010,-11.8890243902439,0.15853658536585366,-0.0011946916580200194,30.6769739151001,1.0854399085044861,0.2997301214635582,-10.666530650441532
1097,-10.799999999999999,0.21839080459770116,-0.0017986513674259185,26.81633186340332,1.0845075845718384,0.2997001499500125,-10.788780024421769
1181,-10.867857142857144,0.2261904761904762,-0.00138336350210011,26.011111640930174,1.0827224254608154,0.2996701814334683,-10.789800022201607
1252,-9.822535211267606,0.352112676056338,-0.0017095837742090226,22.13397388458252,1.0800097465515137,0.2996402159136259,-10.796304782256236
1336,-10.763095238095238,0.21428571428571427,-0.00156822856515646,22.995143127441406,1.0727123498916626,0.29961025339018565,-10.721399430641725
1422,-9.584883720930234,0.3023255813953488,-0.0019614625722169875,21.73047752380371,1.0668171286582946,0.299580293862848,-10.724377702602691
1496,-8.989189189189188,0.3918918918918919,-0.002596072480082512,19.09400749206543,1.058817493915558,0.29955033733131325,-10.64841143715786
1573,-9.922077922077921,0.22077922077922077,-0.0031136421486735342,12.889903259277343,1.045001006126404,0.2995203837952819,-10.544710046659818
1645,-9.126388888888888,0.4166666666666667,-0.0044774580746889114,15.358439350128174,1.025568926334381,0.29949043325445435,-10.508084627566765
1698,-8.47924528301887,0.49056603773584906,-0.003856807202100754,12.865205764770508,1.0045487761497498,0.2994604857085312,-10.431323753195773
1758,-10.033333333333333,0.3333333333333333,-0.0037848995998501778,11.035294723510741,0.9920918226242066,0.29943054115721285,-10.328582781081199
1807,-6.56530612244898,0.7551020408163265,-0.007793460320681333,15.998042869567872,0.9900903403759003,0.29940059960019993,-10.313820308693805
1852,-8.053333333333333,0.6444444444444445,-0.008586032688617707,11.970315074920654,0.946183580160141,0.29937066103719295,-10.135319633158337
1902,-6.433999999999998,0.66,-0.002978207543492317,15.901979637145995,0.924904215335846,0.2993407254678927,-10.040683892257201
1941,-3.6846153846153844,0.9487179487179487,-1.523829996585846e-05,21.996032524108887,0.927113801240921,0.29931079289199963,-9.883871549115584
1980,-7.21282051282051,0.5897435897435898,-0.0021291468292474747,15.239311027526856,0.9083522975444793,0.2992808633092145,-9.625569208928075
2023,-4.190697674418604,0.8837209302325582,-0.0005592701025307178,16.530701065063475,0.8854483664035797,0.299250936719238,-9.529059261083773
2055,-3.6500000000000004,0.96875,-0.0013701876625418663,16.21042957305908,0.8569489777088165,0.2992210131217709,-9.32373766159665
2094,-4.094871794871797,0.8974358974358975,-0.0012595795094966888,14.86164722442627,0.8585259675979614,0.29919109251651393,-9.113599229685665
2129,-3.0314285714285703,0.9142857142857143,-0.0019907552748918535,17.944354629516603,0.8293447196483612,0.29916117490316785,-8.934358964156598
2162,-3.8363636363636355,0.9090909090909091,-0.0022181235253810883,18.155204010009765,0.8453185379505157,0.29913126028143355,-8.730809640269424
2193,-0.39354838709677353,1.064516129032258,-0.0031701721251010894,18.018067359924316,0.7687720775604248,0.2991013486510119,-8.567661440139231
2233,0.45000000000000195,1.15,-0.0014247119426727295,29.16683921813965,0.7349999666213989,0.2990714400116037,-8.303980373912054
